simulation_id,intersection_id,control_method,num_phases,seed,input1,input2,input3,input4,relflow1,relflow2,relflow3,relflow4,yellow_time,red_time,N_s,queue,delay
1,1,Dan,17,22,700,700,700,700,3,3,3,3,1,1,5,28.5499410023304,17.8080771191344
2,1,Dan,4,22,700,700,700,700,3,3,3,3,1,1,5,23.1236178195334,15.1560329018907
3,1,Dan,8,22,700,700,700,700,3,3,3,3,1,1,5,25.8123121953063,15.9808732785495
4,1,Dan,4,22,700,700,700,700,1,1,1,1,1,1,5,25.9394057198496,16.4454719139143
5,1,Dan,8,22,700,700,700,700,1,1,1,1,1,1,5,20.9260418215236,14.3119820629154
6,1,Dan,8,22,700,700,700,700,2,2,2,2,1,1,5,21.8813517433654,13.5568308124856
7,1,Dan,17,22,700,700,700,700,1,1,1,1,1,1,5,21.9957335846457,14.7721625490003
8,1,Dan,17,22,700,700,700,700,2,2,2,2,1,1,5,23.5858969436441,15.3209366001859
9,1,Dan,4,22,700,700,700,700,4,4,4,4,1,1,5,20.5686699005979,14.8458307800986
10,1,Dan,8,22,700,700,700,700,4,4,4,4,1,1,5,22.8590974885397,13.8953710041634
11,1,Dan,17,22,700,700,700,700,4,4,4,4,1,1,5,21.5925283283799,15.3428391443898
12,1,Dan,4,22,700,700,700,700,5,5,5,5,1,1,5,27.5079516920836,18.4727674219319
13,1,Dan,8,22,700,700,700,700,5,5,5,5,1,1,5,23.8074064959186,15.7999819882964
14,1,Dan,17,22,700,700,700,700,5,5,5,5,1,1,5,25.3073489076846,15.9711284970367
15,1,Dan,4,22,700,700,700,700,6,6,6,6,1,1,5,22.9445766490521,16.0042360402266
16,1,Dan,8,22,700,700,700,700,6,6,6,6,1,1,5,14.9108175269446,11.2885519801993
17,1,Dan,17,22,700,700,700,700,6,6,6,6,1,1,5,16.6742057440397,12.2388222037832
18,1,Dan,4,22,700,700,700,700,7,7,7,7,1,1,5,35.5089742460224,19.4831196611863
19,1,Dan,8,22,700,700,700,700,7,7,7,7,1,1,5,36.2073672406496,21.0835795800335
20,1,Dan,17,22,700,700,700,700,7,7,7,7,1,1,5,33.958788210113,17.8756011247507
22,1,Dan,4,22,700,700,700,700,2,2,2,2,1,1,5,32.5110614166569,17.4343747185147
21,1,Dan,8,22,900,900,500,500,1,1,1,1,1,1,5,29.9598204651429,19.3562288208777
23,1,Dan,4,22,900,900,500,500,1,1,1,1,1,1,5,68.0794277508688,25.2060353602291
24,1,Dan,17,22,900,900,500,500,1,1,1,1,1,1,5,33.2796127438942,19.010058163438
25,1,Dan,4,22,900,500,900,500,3,6,3,6,1,1,5,18.8992565454242,13.7806599367048
26,1,Dan,8,22,900,500,900,500,3,6,3,6,1,1,5,20.9093656768457,12.6816602347996
27,1,Dan,17,22,900,500,900,500,3,6,3,6,1,1,5,25.4785969252795,16.1386937413047
28,1,Dan,8,22,900,500,900,500,1,1,1,1,1,1,5,23.6503566288322,14.8872782773554
29,1,Dan,4,22,900,500,900,500,1,1,1,1,1,1,5,28.8427056708742,17.7491130719571
30,1,Dan,17,22,900,500,900,500,1,1,1,1,1,1,5,25.1012897183883,16.8359617747796
31,1,Dan,4,22,900,800,500,600,8,8,8,8,1,1,5,57.6222134746527,22.9883298282976
32,1,Dan,17,22,900,800,500,600,8,8,8,8,1,1,5,0.0598356748801633,1.82684622528618
33,1,Dan,8,22,900,800,500,600,8,8,8,8,1,1,5,29.0419430375385,18.1789710505019
