simulation_id,intersection_id,control_method,num_phases,seed,input1,input2,input3,input4,relflow1,relflow2,relflow3,relflow4,yellow_time,red_time,N_s,queue,delay
55,1,Dan,8,22,900,900,500,500,5,5,5,5,1,1,5,29.2440646868509,18.4425810966495
56,1,Dan,4,22,900,900,500,500,5,5,5,5,1,1,5,99.2338151435375,33.2463834876211
57,1,Dan,17,22,900,900,500,500,5,5,5,5,1,1,5,40.4331914947601,28.0515321656285
58,1,Dan,17,22,900,900,500,500,6,6,6,6,1,1,5,22.2671940526406,16.350107043982
59,1,Dan,8,22,900,900,500,500,6,6,6,6,1,1,5,17.7379071980992,13.5814087513495
60,1,Dan,4,22,900,900,500,500,6,6,6,6,1,1,5,34.4071165478503,20.1659191230564
61,1,Dan,8,22,900,900,500,500,7,7,7,7,1,1,5,65.1919181797442,29.9372044488666
62,1,Dan,4,22,900,900,500,500,7,7,7,7,1,1,5,94.4894725393196,35.3817633678671
63,1,Dan,17,22,900,900,500,500,7,7,7,7,1,1,5,69.0648599096242,30.7356335788492
64,1,Dan,17,22,700,700,700,700,8,8,8,8,1,1,5,0.0411410212270277,1.81666166760806
65,1,Dan,8,22,700,700,700,700,8,8,8,8,1,1,5,26.8259624253044,17.7707630282409
66,1,Dan,4,22,700,700,700,700,8,8,8,8,1,1,5,52.7699479738035,27.698383652605
67,1,Dan,17,22,900,500,900,500,8,8,8,8,1,1,5,0.0274929444099864,1.78789486006055
68,1,Dan,8,22,900,500,900,500,8,8,8,8,1,1,5,20.0986468209729,14.9524398601024
69,1,Dan,4,22,900,500,900,500,8,8,8,8,1,1,5,43.3145078087187,25.1808957832069
70,1,Dan,17,22,900,900,500,500,8,8,8,8,1,1,5,0.0198029023198802,1.94324853067957
71,1,Dan,8,22,900,900,500,500,8,8,8,8,1,1,5,24.5686361102648,18.2827497963629
72,1,Dan,4,22,900,900,500,500,8,8,8,8,1,1,5,75.7011082268779,35.5775134316053
