time,queue_length,delay_time,speed
0,0,0,60
4,0,0,54.2278022156286
8,0,0,60.4758825121922
12,0,0,58.6897984397069
16,0,0.0833333333333333,51.128529469374
20,0.325,0.191666666666667,49.6271346087933
24,3,0.191666666666667,43.6185219580164
28,6.3,0.558333333333333,36.7553926731674
32,13.1,0.558333333333333,29.1270955925524
36,20.275,3.63333333333333,27.2127542738222
40,20.575,3.33333333333333,25.1331805958563
44,17.025,3.125,30.2383140616232
48,19.25,1.85833333333333,31.7774751808298
52,23.075,6.1,31.3594068061099
56,24.675,5.09166666666667,27.4170417114475
60,31.375,3.96666666666667,24.8920570019896
64,36.475,3.6,23.2477219067449
68,39.825,9.7,22.1830767597627
72,38.475,10.65,24.811220404479
76,37.4,9.45,28.1007839312973
80,28.625,10.9333333333333,28.2688051744525
84,28.975,18.7083333333333,28.0877748349039
88,31.1,17.8416666666667,31.128146778271
92,31.45,23.4833333333333,28.0944043317991
96,32.25,23.45,26.8441862870825
100,27.675,20.1083333333333,25.9978280435956
104,32.15,18.3666666666667,26.1380804190167
108,36.1,15.9666666666667,24.1725458394513
112,43.1,16.1666666666667,24.9109136958762
116,44.2,22.5,24.5445615537218
120,45.075,22.2666666666667,19.9489214762373
124,48.35,17.15,18.6915180854185
128,57.425,22.3583333333333,19.0710783664395
132,62.975,24.7666666666667,22.4102656665541
136,65.45,23.6416666666667,24.9276493309601
140,70.475,22.6083333333333,29.6628086306709
144,77.5,22.1,32.9587118107918
148,38.55,25.7,32.4205033367079
152,26.375,25.1833333333333,27.9690476780647
156,36.725,30.575,20.734570117974
160,48.625,28.9666666666667,19.2337126423818
164,50.6,30.3166666666667,17.3024893665908
168,54.95,29.325,24.7398398551922
172,50,28.7083333333333,28.4379819537235
176,37.975,27.1916666666667,23.9922649119119
180,46.65,26.875,20.2442482109076
184,52.675,34.725,18.173889716637
188,57.125,32.9416666666667,19.0720119004569
192,50.25,30.725,18.6745088291434
196,55.825,39.7416666666667,18.7163954985839
200,62.225,36.65,21.0783500489189
204,64.025,34.2583333333333,23.6920572181638
208,50.55,27.0666666666667,27.501144166378
212,50.95,24.2833333333333,28.3657434049586
216,54.85,24.0333333333333,27.8429591612871
220,39.2,25.4833333333333,27.7407644792287
224,31.125,25.4833333333333,21.2378314692581
228,38.075,30.6666666666667,19.4830960315114
232,44.3,32.3583333333333,20.7849391159349
236,42.525,29.4583333333333,22.7172593533192
240,35.325,27.6666666666667,26.4370108590522
244,38.025,26.225,24.8599161961558
248,42.1,26.0416666666667,18.6866312139618
252,48.75,24.0583333333333,12.7552417960147
256,52.95,29.4583333333333,11.5931186936917
260,51.525,27.1666666666667,15.1013543911749
264,52.35,26.525,16.6861809134566
268,55.8,39.1083333333333,16.8977585465903
272,60.95,38.65,21.4509582846201
276,63.65,37.025,24.5988777936249
280,57.925,33.4333333333333,28.831673469459
284,47.675,28.25,30.9656070977821
288,50.75,27.925,29.8429153962227
292,52.7,27.0916666666667,28.4521921532922
296,56.925,28.075,26.3715364188726
300,44.025,28.075,19.8866833170419
304,37.9,34.8083333333333,18.2713078210231
308,43.325,34.4166666666667,18.6306331379532
312,33.825,31.4083333333333,22.2804899876553
316,34.6,31.1416666666667,24.9125739774144
320,36.9,30.0416666666667,24.8567036823339
324,38.8,30.0416666666667,21.6460464189329
328,42.15,30.0416666666667,19.6162000434372
332,42.45,30.6583333333333,15.2917953132527
336,45.25,28.925,15.0287231208207
340,46.8,26.125,17.4530853620005
344,50.75,36.8333333333333,18.5233140117711
348,55.4,36.8083333333333,22.1343442099931
352,48,34.0166666666667,26.7861015281873
356,47.225,35.7583333333333,30.9662933385368
360,49.275,31.9416666666667,30.5891401594114
364,30.175,29.9583333333333,29.5855802985029
368,26.8,28.5666666666667,30.6178261493728
372,29.7,26.4166666666667,30.5950219888478
376,29.25,22.8833333333333,25.4600911685679
380,37.1,22.8833333333333,20.9566425984843
384,41.5,30.2166666666667,15.0575605786375
388,44.45,30.0583333333333,22.3017043256894
392,43.75,29,26.3801323055163
396,37.4,30,29.1705180968292
400,42.3,28.4583333333333,32.171594150157
404,24.075,25.5833333333333,31.5966128443729
408,24.325,24.9833333333333,32.4705028808621
412,28.85,32.5666666666667,28.7357317755051
416,29.7,26.3083333333333,25.4011548761766
420,36.85,24.9,23.5562921070379
424,43.1,30.4666666666667,18.7193448078821
428,51.625,27.4416666666667,18.9269149101719
432,59.55,25.0083333333333,23.7923805599876
436,46.925,21,31.2383603687172
440,21.225,19.6166666666667,34.1858825746338
444,20.975,18.4416666666667,35.0465586123908
448,21.925,18.5416666666667,32.6636456879683
452,24.8,20.7083333333333,31.6248724316159
456,26.375,23.2916666666667,22.6432231073698
460,34.7,20.8833333333333,16.5966888694434
464,40.125,28.8916666666667,19.0695892336903
468,45.25,30.5,24.4947057605472
472,37.65,29.575,27.8592643245079
476,24.825,26.1833333333333,31.5479342641677
480,23.875,17.75,30.830084466436
484,26.35,17.75,27.0636805820813
488,29.125,16.05,23.2558092251581
492,31.2,16.025,24.6276416040056
496,32.8,20.8166666666667,25.277761250414
500,36.25,20.8166666666667,28.4992927449379
