time,queue_length,delay_time,speed
0,0,0,60
4,0,0,59.7797728554248
8,0,0,61.4576711823879
12,0,0,57.8896574870412
16,0,0.0833333333333333,52.628281265327
20,0.1,0.216666666666667,51.0492270805901
24,2.4,0.216666666666667,45.8415408165606
28,6,0.216666666666667,37.8492098904756
32,13.475,0.216666666666667,27.8971903133492
36,20.375,3.38333333333333,22.5546464264618
40,28.3,4.325,24.87685476753
44,23.775,3.26666666666667,27.8785850700019
48,22.2,2.95,28.547068426001
52,28.05,5.99166666666667,29.8190174468748
56,22.425,4.71666666666667,26.7537625997157
60,24.95,5.325,25.5040697920484
64,30.725,3.39166666666667,27.35031297356
68,32.225,13.6416666666667,26.2875230713201
72,34.725,15.1083333333333,26.7039996804398
76,20.55,13.6166666666667,32.8214115974916
80,20.1,10.9833333333333,35.6292569491435
84,23.5,16.025,35.5368678190358
88,25.225,16.2333333333333,32.1486480356929
92,22.925,21.2416666666667,27.8228144467972
96,31.325,21.8416666666667,22.6098701531787
100,40.525,17.6916666666667,21.7463522858101
104,35.425,15.7333333333333,24.5570996441735
108,37.65,14.0833333333333,23.0357819890794
112,42.125,13.7083333333333,20.8635537061111
116,44.775,21.45,17.5256032770599
120,44.225,17.25,19.9177045772299
124,41.425,15.7083333333333,20.6534599623598
128,46.325,22.6583333333333,21.7810691454685
132,50.95,20.9333333333333,24.7022716929681
136,49.85,19.35,27.5028443574818
140,49.875,18.15,32.358677287029
144,53.875,18.475,33.120320641868
148,60.775,18.6333333333333,27.2010827722379
152,67,24.0666666666667,24.0181736027331
156,63.875,20.525,22.262112543567
160,50.1,25.8833333333333,21.3282056225671
164,43.6,28.0333333333333,21.5243730176775
168,44.425,23.475,20.4182685436263
172,44.5,22.8,24.0683082138824
176,36.775,21.2833333333333,26.8631741402765
180,38.75,18.5666666666667,24.7422027314521
184,40.95,23.9,20.8805459754371
188,40.275,23.75,19.2149201805305
192,45.95,20.175,23.2356958946783
196,37.05,25.9833333333333,24.7039247539649
200,37.925,26.375,25.9878436680635
204,44.075,26.2416666666667,26.9485158397244
208,49.475,23.9416666666667,24.792250600176
212,56.95,23.3333333333333,21.8217635365954
216,59.775,19.975,21.3335252873923
220,64.3,18.7166666666667,22.8948458872084
224,66.875,18.8166666666667,22.597091629515
228,71.825,18.8166666666667,20.770927425773
232,74.875,25.7583333333333,18.8272755382625
236,54.325,27.2916666666667,21.5696657515864
240,45.975,26.0833333333333,25.3890551187073
244,29.975,26.075,26.8697486613526
248,37.275,21.7833333333333,26.9035109080004
252,43.35,20.05,24.6897066655517
256,47.925,28.1333333333333,21.5733944104649
260,45.375,27.8166666666667,19.7478511187146
264,46.475,21.125,16.5332572377789
268,50.15,27.2,19.8669129791144
272,54.325,32.1416666666667,21.1788474596322
276,61.125,30.1416666666667,23.9618092194079
280,51.075,29.8416666666667,26.9246925807062
284,55.375,27.9083333333333,27.463510913361
288,58.7,25.4833333333333,25.1855214693426
292,64.8,25.2083333333333,25.0027862760811
296,67.475,24.05,25.7143632910032
300,69.45,23.0666666666667,21.7633029844315
304,70.75,23.0666666666667,21.0747680548865
308,41.475,30.9583333333333,22.7525080112887
312,36.025,30.0583333333333,24.6649769299132
316,37.925,27.9166666666667,26.4669952272105
320,47.35,29.3166666666667,26.4977437890765
324,46.6,26.3666666666667,23.0104716111284
328,40.8,23.3583333333333,20.7332337559928
332,45.775,27.375,17.0486516153077
336,51.625,21.7,17.6159655761038
340,52.425,20.65,16.6677187544302
344,56.325,24.2333333333333,18.6320081649464
348,55.35,23.0416666666667,18.5539025919318
352,59.6,21.8166666666667,20.5312145145686
356,63.2,21.2583333333333,22.2387194687058
360,68.475,22.0583333333333,21.758711807454
364,71.35,20.4166666666667,24.2721946531386
368,71.675,19.2333333333333,23.1541944239833
372,73.05,22.6333333333333,22.2645891393981
376,74.85,26.0416666666667,21.1111410396448
380,76.225,26.0416666666667,20.6484326669003
384,69.175,32.675,20.5104483006892
388,41.45,32.7333333333333,22.092199978781
392,45.525,32.475,23.4756343008704
396,52.65,29.525,23.4455751339013
400,64.325,27.4166666666667,20.8643053478711
404,76.05,27.3833333333333,19.4992545365771
408,86.575,26.175,16.6561968758109
412,94.35,34.5416666666667,15.971653175511
416,88.55,30.75,14.6167128849792
420,71.175,28.8,14.9592716494113
424,63.45,33.825,14.6083471259659
428,65.25,35.6166666666667,15.9598653060086
432,68.8,35.8416666666667,17.6652141050352
436,72,35.1666666666667,19.1688042886024
440,76.075,34.9416666666667,15.8759336544295
444,81.125,34.1083333333333,16.6826095383894
448,82.5,33.075,19.1667888535169
452,84.025,30.9916666666667,20.5611232113562
456,86.8,28.05,19.6726861360983
460,85.95,25.9833333333333,19.8014592448035
464,75.825,25.7583333333333,15.6436351606762
468,48.6,31.9333333333333,15.0674810461206
472,51.6,32.4083333333333,17.964506942151
476,55.8,31.9916666666667,21.386550313577
480,61.475,31.8583333333333,23.9844042499198
484,66.25,31.5083333333333,22.6845261561656
488,74.375,31.225,20.050420695603
492,82.725,30.8416666666667,19.6877685243071
496,86.075,36.5,17.4478478977454
500,90.125,34.1416666666667,13.9738056203005
